elapsed_s,wall_clock,channel,value,valid
182.520,23:13:41.414,noise,40.4,1
185.600,23:13:44.495,temperature,22.04,1
185.600,23:13:44.495,humidity,74.01,1
185.600,23:13:44.495,noise,40.4,1
188.679,23:13:47.574,temperature,22.05,1
188.679,23:13:47.574,humidity,74.14,1
188.730,23:13:47.625,noise,40.5,1
191.809,23:13:50.703,temperature,22.08,1
191.809,23:13:50.703,humidity,74.17,1
191.809,23:13:50.703,noise,40.6,1
194.890,23:13:53.785,temperature,22.08,1
194.890,23:13:53.785,humidity,74.14,1
194.890,23:13:53.785,noise,41.4,1
197.970,23:13:56.865,temperature,22.09,1
197.970,23:13:56.865,humidity,74.08,1
197.970,23:13:56.865,noise,40.8,1
201.053,23:13:59.948,temperature,22.09,1
201.054,23:13:59.948,humidity,74.05,1
201.104,23:13:59.999,noise,41.6,1
204.183,23:14:03.078,temperature,22.08,1
204.183,23:14:03.078,humidity,74.02,1
204.183,23:14:03.078,noise,47.8,1
207.264,23:14:06.159,temperature,22.09,1
207.264,23:14:06.159,humidity,73.97,1
207.264,23:14:06.159,noise,47.9,1
210.344,23:14:09.239,temperature,22.09,1
210.344,23:14:09.239,humidity,73.93,1
210.344,23:14:09.239,noise,50.4,1
213.425,23:14:12.320,temperature,22.11,1
213.476,23:14:12.371,humidity,73.86,1
213.476,23:14:12.371,noise,51.7,1
216.552,23:14:15.446,temperature,22.12,1
216.552,23:14:15.447,humidity,73.88,1
216.552,23:14:15.447,noise,50.3,1
219.629,23:14:18.524,temperature,22.12,1
219.629,23:14:18.524,humidity,73.8,1
219.629,23:14:18.524,noise,50.1,1
222.709,23:14:21.604,temperature,22.13,1
222.760,23:14:21.654,humidity,73.77,1
222.760,23:14:21.654,noise,50.5,1
225.837,23:14:24.732,temperature,22.14,1
225.837,23:14:24.732,humidity,73.68,1
225.837,23:14:24.732,noise,51.0,1
228.918,23:14:27.813,temperature,22.13,1
228.918,23:14:27.813,humidity,73.52,1
228.918,23:14:27.813,noise,50.5,1
231.996,23:14:30.891,temperature,22.12,1
231.996,23:14:30.891,humidity,73.38,1
232.046,23:14:30.941,noise,49.1,1
235.124,23:14:34.019,temperature,22.12,1
235.124,23:14:34.019,humidity,73.12,1
235.124,23:14:34.019,noise,49.8,1
238.200,23:14:37.095,temperature,22.07,1
238.200,23:14:37.095,humidity,72.85,1
238.200,23:14:37.095,noise,48.6,1
241.275,23:14:40.170,temperature,22.03,1
241.275,23:14:40.170,humidity,72.63,1
241.326,23:14:40.221,noise,53.4,1
244.405,23:14:43.300,temperature,22.03,1
244.405,23:14:43.300,humidity,72.41,1
244.405,23:14:43.300,noise,54.7,1
247.481,23:14:46.376,temperature,22.0,1
247.481,23:14:46.376,humidity,72.27,1
247.481,23:14:46.376,noise,53.2,1
250.557,23:14:49.452,temperature,22.0,1
250.608,23:14:49.502,humidity,72.13,1
250.608,23:14:49.502,noise,48.6,1
253.686,23:14:52.581,temperature,21.99,1
253.686,23:14:52.581,humidity,71.99,1
253.686,23:14:52.581,noise,49.8,1
256.765,23:14:55.660,temperature,21.97,1
256.766,23:14:55.660,humidity,71.86,1
256.766,23:14:55.660,noise,51.9,1
259.842,23:14:58.737,temperature,21.96,1
259.842,23:14:58.737,humidity,71.71,1
259.893,23:14:58.787,noise,50.4,1
262.968,23:15:01.863,temperature,21.96,1
262.968,23:15:01.863,humidity,71.63,1
262.968,23:15:01.863,noise,51.3,1
266.044,23:15:04.939,temperature,21.96,1
266.044,23:15:04.939,humidity,71.51,1
266.044,23:15:04.939,noise,51.1,1
269.120,23:15:08.014,temperature,21.94,1
269.170,23:15:08.065,humidity,71.35,1
269.170,23:15:08.065,noise,49.5,1
272.246,23:15:11.141,temperature,21.96,1
272.246,23:15:11.141,humidity,71.27,1
272.246,23:15:11.141,noise,52.5,1
275.323,23:15:14.218,temperature,21.94,1
275.323,23:15:14.218,humidity,71.12,1
275.323,23:15:14.218,noise,53.6,1
278.451,23:15:17.346,temperature,21.93,1
278.451,23:15:17.346,humidity,70.98,1
278.451,23:15:17.346,noise,52.4,1
281.531,23:15:20.426,temperature,21.88,1
281.531,23:15:20.426,humidity,70.84,1
281.531,23:15:20.426,noise,46.3,1
284.611,23:15:23.506,temperature,21.84,1
284.611,23:15:23.506,humidity,70.7,1
284.611,23:15:23.506,noise,44.4,1
287.689,23:15:26.584,temperature,21.82,1
287.689,23:15:26.584,humidity,70.64,1
287.739,23:15:26.634,noise,48.6,1
290.819,23:15:29.714,temperature,21.82,1
290.819,23:15:29.714,humidity,70.55,1
290.819,23:15:29.714,noise,51.4,1
293.897,23:15:32.792,temperature,21.8,1
293.897,23:15:32.792,humidity,70.49,1
293.897,23:15:32.792,noise,50.8,1
296.973,23:15:35.868,temperature,21.79,1
296.973,23:15:35.868,humidity,70.43,1
297.024,23:15:35.919,noise,52.6,1
300.103,23:15:38.997,temperature,21.78,1
300.103,23:15:38.997,humidity,70.37,1
300.103,23:15:38.997,noise,50.9,1
303.179,23:15:42.074,temperature,21.76,1
303.179,23:15:42.074,humidity,70.27,1
303.179,23:15:42.074,noise,50.9,1
306.257,23:15:45.151,temperature,21.75,1
306.257,23:15:45.151,humidity,70.2,1
306.308,23:15:45.202,noise,48.8,1
309.388,23:15:48.283,temperature,21.73,1
309.388,23:15:48.283,humidity,70.09,1
309.388,23:15:48.283,noise,46.4,1
312.468,23:15:51.363,temperature,21.72,1
312.468,23:15:51.363,humidity,69.98,1
312.468,23:15:51.363,noise,49.7,1
315.546,23:15:54.440,temperature,21.67,1
315.546,23:15:54.440,humidity,69.9,1
315.546,23:15:54.440,noise,47.1,1
318.676,23:15:57.571,temperature,21.65,1
318.676,23:15:57.571,humidity,69.86,1
318.676,23:15:57.571,noise,41.0,1
321.756,23:16:00.650,temperature,21.59,1
321.756,23:16:00.650,humidity,69.74,1
321.756,23:16:00.650,noise,51.8,1
324.833,23:16:03.728,temperature,21.58,1
324.833,23:16:03.728,humidity,69.67,1
324.833,23:16:03.728,noise,48.3,1
327.911,23:16:06.806,temperature,21.58,1
327.962,23:16:06.857,humidity,69.6,1
327.962,23:16:06.857,noise,40.6,1
331.040,23:16:09.935,temperature,21.54,1
331.040,23:16:09.935,humidity,69.54,1
331.040,23:16:09.935,noise,44.9,1
334.120,23:16:13.015,temperature,21.51,1
334.120,23:16:13.015,humidity,69.49,1
334.120,23:16:13.015,noise,47.1,1
337.198,23:16:16.093,temperature,21.48,1
337.198,23:16:16.093,humidity,69.46,1
337.248,23:16:16.143,noise,49.3,1
340.328,23:16:19.223,temperature,21.48,1
340.328,23:16:19.223,humidity,69.39,1
340.328,23:16:19.223,noise,48.7,1
343.408,23:16:22.303,temperature,21.42,1
343.409,23:16:22.303,humidity,69.32,1
343.409,23:16:22.303,noise,51.2,1
346.485,23:16:25.380,temperature,21.43,1
346.485,23:16:25.380,humidity,69.23,1
346.485,23:16:25.380,noise,43.9,1
349.613,23:16:28.508,temperature,21.39,1
349.613,23:16:28.508,humidity,69.17,1
349.613,23:16:28.508,noise,51.4,1
352.693,23:16:31.587,temperature,21.37,1
352.693,23:16:31.587,humidity,69.03,1
352.693,23:16:31.587,noise,48.4,1
355.773,23:16:34.668,temperature,21.36,1
355.773,23:16:34.668,humidity,69.03,1
355.773,23:16:34.668,noise,41.7,1
358.853,23:16:37.748,temperature,21.35,1
358.904,23:16:37.798,humidity,69.02,1
358.904,23:16:37.798,noise,51.2,1
361.984,23:16:40.878,temperature,21.33,1
361.984,23:16:40.879,humidity,68.9,1
361.984,23:16:40.879,noise,50.3,1
365.062,23:16:43.957,temperature,21.32,1
365.062,23:16:43.957,humidity,68.82,1
365.062,23:16:43.957,noise,49.3,1
368.140,23:16:47.035,temperature,21.28,1
368.141,23:16:47.035,humidity,68.75,1
368.141,23:16:47.035,noise,47.0,1
371.272,23:16:50.167,temperature,21.28,1
371.272,23:16:50.167,humidity,68.72,1
371.272,23:16:50.167,noise,48.7,1
374.351,23:16:53.246,temperature,21.26,1
374.351,23:16:53.246,humidity,68.64,1
374.351,23:16:53.246,noise,50.6,1
377.432,23:16:56.326,temperature,21.25,1
377.432,23:16:56.326,humidity,68.6,1
377.432,23:16:56.326,noise,49.5,1
380.511,23:16:59.406,temperature,21.21,1
380.562,23:16:59.457,humidity,68.57,1
380.562,23:16:59.457,noise,46.9,1
383.640,23:17:02.535,temperature,21.2,1
383.640,23:17:02.535,humidity,68.53,1
383.640,23:17:02.535,noise,50.8,1
386.721,23:17:05.616,temperature,21.19,1
386.721,23:17:05.616,humidity,68.43,1
386.721,23:17:05.616,noise,46.0,1
389.799,23:17:08.693,temperature,21.13,1
389.799,23:17:08.693,humidity,68.38,1
389.850,23:17:08.744,noise,49.1,1
392.928,23:17:11.823,temperature,21.14,1
392.928,23:17:11.823,humidity,68.36,1
392.928,23:17:11.823,noise,49.5,1
396.007,23:17:14.901,temperature,21.14,1
396.007,23:17:14.902,humidity,68.3,1
396.007,23:17:14.902,noise,51.4,1
399.085,23:17:17.980,temperature,21.1,1
399.085,23:17:17.980,humidity,68.26,1
399.086,23:17:17.980,noise,49.2,1
402.211,23:17:21.106,temperature,21.1,1
402.211,23:17:21.106,humidity,68.19,1
402.211,23:17:21.106,noise,47.4,1
405.289,23:17:24.184,temperature,21.09,1
405.289,23:17:24.184,humidity,68.18,1
405.289,23:17:24.184,noise,45.4,1
408.368,23:17:27.263,temperature,21.06,1
408.368,23:17:27.263,humidity,68.1,1
408.368,23:17:27.263,noise,49.4,1
411.498,23:17:30.393,temperature,21.04,1
411.498,23:17:30.393,humidity,67.99,1
411.498,23:17:30.393,noise,45.5,1
414.577,23:17:33.471,temperature,21.02,1
414.577,23:17:33.471,humidity,67.96,1
414.577,23:17:33.471,noise,43.8,1
417.656,23:17:36.550,temperature,21.04,1
417.656,23:17:36.550,humidity,67.93,1
417.656,23:17:36.550,noise,48.7,1
420.734,23:17:39.629,temperature,21.02,1
420.785,23:17:39.680,humidity,67.8,1
420.785,23:17:39.680,noise,45.8,1
423.864,23:17:42.758,temperature,21.0,1
423.864,23:17:42.758,humidity,67.69,1
423.864,23:17:42.758,noise,44.2,1
426.943,23:17:45.837,temperature,20.98,1
426.943,23:17:45.837,humidity,67.7,1
426.943,23:17:45.837,noise,51.4,1
430.023,23:17:48.918,temperature,20.96,1
430.023,23:17:48.918,humidity,67.64,1
430.074,23:17:48.969,noise,45.4,1
433.152,23:17:52.047,temperature,20.99,1
433.152,23:17:52.047,humidity,67.52,1
433.152,23:17:52.047,noise,47.5,1
436.232,23:17:55.126,temperature,20.94,1
436.232,23:17:55.126,humidity,67.44,1
436.232,23:17:55.126,noise,48.4,1
439.312,23:17:58.207,temperature,20.91,1
439.312,23:17:58.207,humidity,67.35,1
439.312,23:17:58.207,noise,46.2,1
442.442,23:18:01.337,temperature,20.91,1
442.442,23:18:01.337,humidity,67.37,1
442.442,23:18:01.337,noise,44.6,1
445.520,23:18:04.414,temperature,20.9,1
445.520,23:18:04.414,humidity,67.3,1
445.520,23:18:04.414,noise,44.8,1
448.596,23:18:07.491,temperature,20.9,1
448.596,23:18:07.491,humidity,67.28,1
448.596,23:18:07.491,noise,48.1,1
451.725,23:18:10.620,temperature,20.9,1
451.725,23:18:10.620,humidity,67.28,1
451.725,23:18:10.620,noise,43.5,1
454.801,23:18:13.696,temperature,20.93,1
454.801,23:18:13.696,humidity,67.27,1
454.801,23:18:13.696,noise,49.5,1
457.880,23:18:16.775,temperature,20.92,1
457.880,23:18:16.775,humidity,67.14,1
457.880,23:18:16.775,noise,42.9,1
460.963,23:18:19.857,temperature,20.92,1
460.963,23:18:19.857,humidity,67.11,1
461.013,23:18:19.908,noise,41.8,1
464.093,23:18:22.987,temperature,20.89,1
464.093,23:18:22.988,humidity,66.98,1
464.093,23:18:22.988,noise,43.5,1
467.171,23:18:26.066,temperature,20.88,1
467.171,23:18:26.066,humidity,66.99,1
467.171,23:18:26.066,noise,43.5,1
470.250,23:18:29.145,temperature,20.85,1
470.250,23:18:29.145,humidity,66.9,1
470.250,23:18:29.145,noise,44.5,1
473.379,23:18:32.273,temperature,20.82,1
473.379,23:18:32.274,humidity,66.82,1
473.379,23:18:32.274,noise,48.8,1
476.458,23:18:35.353,temperature,20.82,1
476.458,23:18:35.353,humidity,66.76,1
476.458,23:18:35.353,noise,43.9,1
479.538,23:18:38.433,temperature,20.81,1
479.538,23:18:38.433,humidity,66.69,1
479.539,23:18:38.433,noise,43.1,1
482.618,23:18:41.513,temperature,20.79,1
482.669,23:18:41.563,humidity,66.69,1
482.669,23:18:41.564,noise,41.3,1
485.751,23:18:44.645,temperature,20.77,1
485.751,23:18:44.646,humidity,66.63,1
485.751,23:18:44.646,noise,49.0,1
488.830,23:18:47.725,temperature,20.77,1
488.830,23:18:47.725,humidity,66.51,1
488.830,23:18:47.725,noise,48.6,1
491.909,23:18:50.803,temperature,20.75,1
491.909,23:18:50.803,humidity,66.47,1
491.909,23:18:50.803,noise,47.7,1
495.040,23:18:53.935,temperature,20.74,1
495.040,23:18:53.935,humidity,66.41,1
495.040,23:18:53.935,noise,49.8,1
498.119,23:18:57.014,temperature,20.75,1
498.119,23:18:57.014,humidity,66.4,1
498.119,23:18:57.014,noise,46.1,1
501.201,23:19:00.095,temperature,20.75,1
501.201,23:19:00.095,humidity,66.34,1
501.201,23:19:00.095,noise,45.4,1
504.282,23:19:03.177,temperature,20.72,1
504.282,23:19:03.177,humidity,66.28,1
504.333,23:19:03.228,noise,49.5,1
507.412,23:19:06.307,temperature,20.72,1
507.412,23:19:06.307,humidity,66.22,1
507.412,23:19:06.307,noise,46.9,1
510.495,23:19:09.390,temperature,20.73,1
510.495,23:19:09.390,humidity,66.18,1
510.495,23:19:09.390,noise,50.1,1
513.576,23:19:12.471,temperature,20.71,1
513.576,23:19:12.471,humidity,66.12,1
513.576,23:19:12.471,noise,47.8,1
516.656,23:19:15.550,temperature,20.7,1
516.656,23:19:15.550,humidity,66.02,1
516.706,23:19:15.601,noise,46.7,1
519.783,23:19:18.678,temperature,20.69,1
519.783,23:19:18.678,humidity,65.96,1
519.783,23:19:18.678,noise,49.6,1
522.863,23:19:21.758,temperature,20.71,1
522.863,23:19:21.758,humidity,65.89,1
522.863,23:19:21.758,noise,46.5,1
525.946,23:19:24.841,temperature,20.71,1
525.946,23:19:24.841,humidity,65.82,1
525.946,23:19:24.841,noise,40.6,1
529.077,23:19:27.972,temperature,20.68,1
529.077,23:19:27.972,humidity,65.73,1
529.077,23:19:27.972,noise,42.9,1
532.158,23:19:31.052,temperature,20.65,1
532.158,23:19:31.053,humidity,65.62,1
532.158,23:19:31.053,noise,47.7,1
535.235,23:19:34.130,temperature,20.65,1
535.235,23:19:34.130,humidity,65.63,1
535.235,23:19:34.130,noise,44.9,1
538.312,23:19:37.207,temperature,20.67,1
538.363,23:19:37.258,humidity,65.55,1
538.363,23:19:37.258,noise,41.0,1
541.439,23:19:40.334,temperature,20.65,1
541.439,23:19:40.334,humidity,65.4,1
541.439,23:19:40.334,noise,47.2,1
544.519,23:19:43.414,temperature,20.65,1
544.519,23:19:43.414,humidity,65.39,1
544.519,23:19:43.414,noise,42.0,1
547.597,23:19:46.492,temperature,20.63,1
547.597,23:19:46.492,humidity,65.39,1
547.647,23:19:46.542,noise,49.1,1
550.727,23:19:49.622,temperature,20.64,1
550.727,23:19:49.622,humidity,65.32,1
550.727,23:19:49.622,noise,49.6,1
553.804,23:19:52.699,temperature,20.64,1
553.804,23:19:52.699,humidity,65.24,1
553.804,23:19:52.699,noise,50.4,1
556.884,23:19:55.779,temperature,20.63,1
556.884,23:19:55.779,humidity,65.16,1
556.884,23:19:55.779,noise,41.6,1
560.013,23:19:58.908,temperature,20.61,1
560.013,23:19:58.908,humidity,65.04,1
560.013,23:19:58.908,noise,40.9,1
563.089,23:20:01.984,temperature,20.62,1
563.089,23:20:01.984,humidity,64.95,1
563.089,23:20:01.984,noise,45.4,1
566.169,23:20:05.064,temperature,20.65,1
566.169,23:20:05.064,humidity,64.94,1
566.169,23:20:05.064,noise,44.8,1
569.298,23:20:08.193,temperature,20.65,1
569.298,23:20:08.193,humidity,64.87,1
569.298,23:20:08.193,noise,45.3,1
572.377,23:20:11.272,temperature,20.67,1
572.377,23:20:11.272,humidity,64.86,1
572.377,23:20:11.272,noise,51.3,1
575.453,23:20:14.348,temperature,20.63,1
575.453,23:20:14.348,humidity,64.75,1
575.453,23:20:14.348,noise,47.1,1
578.580,23:20:17.475,temperature,20.62,1
578.580,23:20:17.475,humidity,64.74,1
578.581,23:20:17.475,noise,49.0,1
581.657,23:20:20.552,temperature,24.08,1
581.658,23:20:20.552,humidity,70.15,1
581.658,23:20:20.552,noise,42.9,1
584.735,23:20:23.630,temperature,23.06,1
584.736,23:20:23.630,humidity,67.72,1
584.736,23:20:23.630,noise,51.1,1
587.866,23:20:26.761,temperature,22.67,1
587.866,23:20:26.761,humidity,65.79,1
587.866,23:20:26.761,noise,50.2,1
590.946,23:20:29.841,temperature,22.39,1
590.946,23:20:29.841,humidity,64.37,1
590.946,23:20:29.841,noise,48.5,1
594.023,23:20:32.917,temperature,22.2,1
594.023,23:20:32.917,humidity,63.36,1
594.023,23:20:32.917,noise,45.6,1
597.102,23:20:35.996,temperature,22.06,1
597.153,23:20:36.048,humidity,62.62,1
597.153,23:20:36.048,noise,65.8,1
600.231,23:20:39.126,temperature,21.91,1
600.231,23:20:39.126,humidity,62.14,1
600.231,23:20:39.126,noise,49.2,1
603.309,23:20:42.204,temperature,21.8,1
603.309,23:20:42.204,humidity,61.81,1
603.309,23:20:42.204,noise,46.5,1
606.391,23:20:45.286,temperature,21.71,1
606.391,23:20:45.286,humidity,61.52,1
606.391,23:20:45.286,noise,47.7,1
609.520,23:20:48.415,temperature,21.64,1
609.520,23:20:48.415,humidity,61.36,1
609.520,23:20:48.415,noise,50.8,1
612.600,23:20:51.494,temperature,21.58,1
612.600,23:20:51.494,humidity,61.25,1
612.600,23:20:51.494,noise,49.4,1
615.680,23:20:54.575,temperature,21.53,1
615.680,23:20:54.575,humidity,61.15,1
615.681,23:20:54.575,noise,49.6,1
618.809,23:20:57.704,temperature,21.43,1
618.809,23:20:57.704,humidity,61.02,1
618.809,23:20:57.704,noise,50.9,1
621.890,23:21:00.785,temperature,21.4,1
621.890,23:21:00.785,humidity,60.9,1
621.890,23:21:00.785,noise,50.4,1
624.972,23:21:03.867,temperature,21.37,1
624.972,23:21:03.867,humidity,60.83,1
624.972,23:21:03.867,noise,47.1,1
628.053,23:21:06.947,temperature,21.27,1
628.053,23:21:06.947,humidity,60.73,1
628.053,23:21:06.947,noise,46.9,1
631.182,23:21:10.077,temperature,21.23,1
631.182,23:21:10.077,humidity,60.7,1
631.182,23:21:10.077,noise,51.5,1
634.261,23:21:13.156,temperature,21.18,1
634.261,23:21:13.156,humidity,60.57,1
634.261,23:21:13.156,noise,49.7,1
637.340,23:21:16.235,temperature,21.12,1
637.340,23:21:16.235,humidity,60.52,1
637.340,23:21:16.235,noise,50.5,1
640.420,23:21:19.315,temperature,21.05,1
640.471,23:21:19.365,humidity,60.44,1
640.471,23:21:19.365,noise,50.7,1
643.550,23:21:22.445,temperature,20.99,1
643.550,23:21:22.445,humidity,60.48,1
643.550,23:21:22.445,noise,48.8,1
646.626,23:21:25.521,temperature,20.95,1
646.626,23:21:25.521,humidity,60.53,1
646.626,23:21:25.521,noise,46.6,1
649.703,23:21:28.598,temperature,20.91,1
649.754,23:21:28.649,humidity,60.53,1
649.754,23:21:28.649,noise,41.5,1
652.832,23:21:31.727,temperature,20.85,1
652.832,23:21:31.727,humidity,60.47,1
652.832,23:21:31.727,noise,50.3,1
655.910,23:21:34.805,temperature,20.85,1
655.910,23:21:34.805,humidity,60.5,1
655.910,23:21:34.805,noise,45.9,1
658.988,23:21:37.883,temperature,20.82,1
658.988,23:21:37.883,humidity,60.51,1
659.039,23:21:37.933,noise,49.0,1
662.116,23:21:41.011,temperature,20.77,1
662.116,23:21:41.011,humidity,60.52,1
662.116,23:21:41.011,noise,49.7,1
665.197,23:21:44.091,temperature,20.73,1
665.197,23:21:44.091,humidity,60.48,1
